ID,Pair, Entry Price,Action,SL,TP,Time Open,Time Closed
e021c927-2790-43e6-b7be-4b31e607cd21,USD/JPY,134.5,Buy,0,1,5/4/2023 5:12:25 AM,5/9/2023 12:13:17 AM,
d9194e54-c71b-4f78-a105-f2813b5b54f4,Gold,2019.38,Buy,0,1,5/8/2023 3:21:13 AM,5/8/2023 3:29:16 PM,
0aba4352-4773-4be9-8921-f292bae91bbf,USOil,73.15,Sell,0,1,5/8/2023 3:12:31 PM,5/8/2023 3:14:08 PM,
979f07c7-5d63-4672-b507-fdaa74550995,USD/JPY,134.84,Sell,1,0,5/5/2023 4:34:29 PM,5/7/2023 11:51:46 PM,
4094ad8f-adf9-4392-ad09-633116fc99fc,ETH/USD,1811.45,Buy,0,1,4/25/2023 3:32:51 PM,5/5/2023 4:02:51 PM,
53997eff-bd97-49af-9c8b-153ecd07a39e,EUR/JPY,147.83,Sell,1,0,5/4/2023 9:19:02 PM,5/5/2023 12:30:26 PM,
c46e30b7-9be2-44dc-9e56-09a8f66f7487,Gold,2048.18,Sell,0,1,5/5/2023 5:45:27 AM,5/5/2023 6:21:16 AM,
f2a6eec6-7f84-44b1-ae05-142dcc083f46,Gold,2048.65,Buy,0,1,5/4/2023 4:36:19 PM,5/4/2023 4:43:38 PM,
08834d42-f7cd-40be-a435-53e49331cbfa,Gold,2038.58,Sell,0,1,5/4/2023 12:54:02 PM,5/4/2023 1:13:19 PM,
6ba8f107-6a48-4b32-90f7-87d3b53bd99f,EUR/GBP,0.8807,Buy,1,0,5/4/2023 3:00:14 AM,5/4/2023 12:55:59 PM,
56e52d13-5fa1-4bda-ab7f-44f49e334308,EUR/JPY,150.02,Buy,1,0,5/3/2023 3:35:55 AM,5/4/2023 6:38:25 AM,
ba1ecbe3-00a2-49a1-ab53-4cd50613df09,Gold,2043.2,Buy,1,0,5/4/2023 5:09:54 AM,5/4/2023 6:17:10 AM,
f300a95f-90d2-45ed-9cc7-97dc5e4a88e9,Gold,2016.18,Sell,0,1,5/3/2023 5:59:10 AM,5/3/2023 7:42:14 AM,
a9e882ab-b5bd-4fc3-80b1-b20487d5b1a7,EUR/USD,1.0992,Sell,1,0,5/2/2023 3:41:50 PM,5/3/2023 7:00:37 AM,
6fc3cdfb-fc7c-4425-b020-5a57a5ba40d8,Gold,1988.05,Sell,1,0,5/2/2023 12:22:03 PM,5/2/2023 2:20:47 PM,
b4ea90cc-3f54-459c-a4a2-4dddf21ada07,NZD/USD,0.6181,Buy,0,1,5/1/2023 4:36:00 AM,5/2/2023 11:29:47 AM,
0c3a9424-8dbb-46ae-9f07-8ff90fd0c467,Gold,1979.6,Buy,0,1,5/2/2023 5:15:49 AM,5/2/2023 10:44:17 AM,
38b1c99d-699f-47d6-a632-4c5210d64c92,GBP/USD,1.2501,Buy,1,0,5/2/2023 5:17:05 AM,5/2/2023 9:22:55 AM,
cd894959-0a20-408e-a26c-a5c7815bc7e3,USD/JPY,136.76,Buy,0,1,5/1/2023 12:40:46 PM,5/1/2023 2:04:07 PM,
f8d37fca-6bc6-48d7-b337-15ab505a7363,Gold,1984.98,Sell,1,0,5/1/2023 5:07:17 AM,5/1/2023 12:32:06 PM,
c26fd360-5266-4713-8d1d-95748ea34c1a,Gold,1985.63,Sell,0,1,4/28/2023 2:06:45 PM,4/28/2023 2:16:12 PM,
0281d8fa-986c-4cca-9130-c6e8388be898,USD/JPY,135.9,Buy,0,1,4/28/2023 1:17:38 PM,4/28/2023 1:52:14 PM,
cb5bd8dd-8568-44a6-99ad-e4c306247ed9,GBP/USD,1.2482,Sell,0,1,4/28/2023 5:15:28 AM,4/28/2023 8:55:04 AM,
6b20a125-be50-444c-b0ec-563c1fecfc06,AUD/USD,0.6614,Sell,0,1,4/26/2023 1:27:25 PM,4/28/2023 8:14:58 AM,
cc06c236-9164-4447-a5ff-12e2f56c8471,EUR/USD,1.1026,Sell,0,1,4/27/2023 6:06:51 PM,4/28/2023 7:16:13 AM,
416c38a4-576a-42b4-b7ea-8a309dafd11d,USD/JPY,134.81,Buy,0,1,4/28/2023 5:16:11 AM,4/28/2023 5:54:10 AM,
